Step,Epoch,Value,,All,PSNR 35.469,SSIM 0.977,"Channels: 240, 152, 88"
1523,0,29.35573196,,Top 67,PSNR 36.108,SSIM 0.983,
3046,1,32.22796249,,,,,
4569,2,33.43143463,,,,,
6092,3,33.72733688,,,,,
7615,4,34.07415009,,,,,
9138,5,34.21835709,,,,,
10661,6,34.42865753,,,,,
12184,7,34.47309113,,,,,
13707,8,34.6026535,,,,,
15230,9,34.59341049,,,,,
16753,10,34.61737442,,,,,
18276,11,34.73622131,,,,,
19799,12,34.79033661,,,,,
21322,13,34.87078476,,,,,
22845,14,34.88525009,,,,,
24368,15,34.83983994,,,,,
25891,16,34.96724319,,,,,
27414,17,34.98811722,,,,,
28937,18,35.01677704,,,,,
30460,19,35.04587173,,,,,
31983,20,35.0641098,,,,,
33506,21,35.0901947,,,,,
35029,22,35.08716583,,,,,
36552,23,35.13254547,,,,,
38075,24,35.17971802,,,,,
39598,25,35.20876312,,,,,
41121,26,35.14280319,,,,,
42644,27,35.18069458,,,,,
44167,28,35.23717499,,,,,
45690,29,35.24523544,,,,,
47213,30,35.27001953,,,,,
48736,31,35.23264694,,,,,
50259,32,35.29590988,,,,,
51782,33,35.29063416,,,,,
53305,34,35.30652618,,,,,
54828,35,35.34873581,,,,,
56351,36,35.31904602,,,,,
57874,37,35.32156372,,,,,
59397,38,35.31833649,,,,,
60920,39,35.37086868,,,,,
62443,40,35.33950424,,,,,
63966,41,35.28989029,,,,,
65489,42,35.32449341,,,,,
67012,43,35.37829971,,,,,
68535,44,35.40691757,,,,,
70058,45,35.34477615,,,,,
71581,46,35.41178894,,,,,
73104,47,35.39870453,,,,,
74627,48,35.39557266,,,,,
76150,49,35.277771,,,,,
77673,50,35.42059326,,,,,
79196,51,35.44643402,,,,,
80719,52,35.38519287,,,,,
82242,53,35.43496323,,,,,
83765,54,35.4392662,,,,,
85288,55,35.47024918,,,,,
86811,56,35.48604202,,,,,
88334,57,35.44402313,,,,,
89857,58,35.46762085,,,,,
91380,59,35.47428513,,,,,
92903,60,35.46902847,,,,,
94426,61,35.49645615,,,,,
95949,62,35.46830368,,,,,
97472,63,35.34356689,,,,,
98995,64,35.5281601,,,,,
100518,65,35.47327042,,,,,
102041,66,35.50551224,,,,,
103564,67,35.5001564,,,,,
105087,68,35.40004349,,,,,
106610,69,35.4859848,,,,,
108133,70,35.48575592,,,,,
109656,71,35.55949783,,,,,
111179,72,35.51379013,,,,,
112702,73,35.55294418,,,,,
114225,74,35.51288605,,,,,
115748,75,35.52623749,,,,,
117271,76,35.52783966,,,,,
118794,77,35.57500458,,,,,
120317,78,35.53681946,,,,,
121840,79,35.59519577,,,,,
123363,80,35.54450226,,,,,
124886,81,35.53055573,,,,,
126409,82,35.54339218,,,,,
127932,83,35.5896759,,,,,
129455,84,35.57610321,,,,,
130978,85,35.62371063,,,,,
132501,86,35.62002182,,,,,
134024,87,35.58541107,,,,,
135547,88,35.57954025,,,,,
137070,89,35.55553436,,,,,
138593,90,35.64334869,,,,,
140116,91,35.5926857,,,,,
141639,92,35.60662079,,,,,
143162,93,35.5919838,,,,,
144685,94,35.65005875,,,,,
146208,95,35.64070129,,,,,
147731,96,35.68114853,,,,,
149254,97,35.56096268,,,,,
150777,98,35.65647125,,,,,
152300,99,35.65445709,,,,,
153823,100,35.66394424,,,,,
155346,101,35.64385605,,,,,
156869,102,35.65544128,,,,,
158392,103,35.63702393,,,,,
159915,104,35.62429047,,,,,
161438,105,35.67114639,,,,,
162961,106,35.63833237,,,,,
164484,107,35.67809296,,,,,
166007,108,35.70337677,,,,,
167530,109,35.66431427,,,,,
169053,110,35.69402695,,,,,
170576,111,35.70328522,,,,,
172099,112,35.70687866,,,,,
173622,113,35.70251083,,,,,
175145,114,35.74186707,,,,,
176668,115,35.69012833,,,,,
178191,116,35.72669983,,,,,
179714,117,35.64128876,,,,,
181237,118,35.73273849,,,,,
182760,119,35.7467308,,,,,
184283,120,35.69854736,,,,,
185806,121,35.75818634,,,,,
187329,122,35.72354507,,,,,
188852,123,35.71807861,,,,,
190375,124,35.74314117,,,,,
191898,125,35.7301178,,,,,
193421,126,35.74317551,,,,,
194944,127,35.76957321,,,,,
196467,128,35.76738739,,,,,
197990,129,35.783535,,,,,
199513,130,35.76851654,,,,,
201036,131,35.74994659,,,,,
202559,132,35.7481575,,,,,
204082,133,35.79698563,,,,,
205605,134,35.79627228,,,,,
207128,135,35.7686615,,,,,
208651,136,35.80615616,,,,,
210174,137,35.79702759,,,,,
211697,138,35.79074478,,,,,
213220,139,35.81098175,,,,,
214743,140,35.81389618,,,,,
216266,141,35.84654999,,,,,
217789,142,35.78750229,,,,,
219312,143,35.82511139,,,,,
220835,144,35.84197998,,,,,
222358,145,35.79659271,,,,,
223881,146,35.81641769,,,,,
225404,147,35.8288269,,,,,
226927,148,35.8092804,,,,,
228450,149,35.79533768,,,,,
229973,150,35.80877686,,,,,
231496,151,35.85547256,,,,,
233019,152,35.84254837,,,,,
234542,153,35.83903122,,,,,
